CountryCodeID,CountryCode,CountryName,ProductID,ProductName,DataTypeID,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,ColourCode
250,GI,Gibraltar,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,GR,Greece,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,12.3,5.6,5.5,7.0,7.0,6.3,5.4,4.5,5.0,7.7,10.4,14.4,17.2,20.22,,,,,,,,,,,,,,,,,,
247,GD,Grenada,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,GP,Guadeloupe,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,GM,Guam,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,GT,Guatemala,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.5,7.1,4.2,2.3,2.1,2.2,2.7,2.1,1.6,1.5,1.61,,,,,,,,,,,,,,,,,,
256,GU,Guinea,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,SS,Guinea-Bissau,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,GY,Guyana,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,HT,Haiti,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,HD,Honduras,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.4,11.3,,,,,3.1,4.3,4.7,3.7,2.9,2.6,2.55,,,,,,,,,,,,,,,,,,
259,HK,"Hong Kong, China",133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.5,5.0,3.9,2.3,1.4,1.1,0.8,1.2,1.6,0.8,0.7,0.6,0.46,,,,,,,,,,,,,,,,,,
261,HU,Hungary,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.7,2.9,2.6,2.7,2.3,2.6,2.3,3.0,6.7,9.8,13.4,15.8,17.15,,,,,,,,,,,,,,,,,,
262,IC,Iceland,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.0,2.6,2.1,0.9,1.1,0.8,0.7,20.0,42.0,40.0,23.0,17.07,17.52,,,,,,,,,,,,,,,,,,
265,IN,India,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,12.8,11.4,10.4,8.8,7.2,5.2,3.3,2.7,2.4,2.4,2.5,2.3,3.0,2.88,,,,,,,,,,,,,,,,,,
263,ID,Indonesia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,34.4,31.9,24.0,6.8,4.5,7.4,6.1,4.0,3.2,3.3,2.5,2.1,2.1,1.75,,,,,,,,,,,,,,,,,,
271,IR,Iran,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,IQ,Iraq,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,IE,Ireland,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.9,0.8,0.7,0.7,0.8,2.6,9.0,8.6,16.1,18.7,19.39,,,,,,,,,,,,,,,,,,
