ProductID,ProductName,CountryCodeID,CountryName,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,ColourCode
133262,Bank Nonperforming Loans to Total Gross Loans,493,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,208,Cyprus,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.5,5.6,9.6,18.6,30.3,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,205,Czech Republic,%,,,,,,,,,,,,,,,,,,,,,,,,29.3,13.7,8.1,4.9,4.0,3.9,3.6,2.4,2.8,4.6,5.4,5.2,5.2,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,214,Denmark,%,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.8,0.7,0.4,0.5,0.6,1.2,3.3,4.1,3.7,6.0,4.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxGGGGGCGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,213,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,215,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,216,Dominican Republic,%,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,4.9,8.7,7.3,5.9,4.5,4.0,3.7,4.3,3.1,2.9,3.5,2.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,230,Ecuador,%,,,,,,,,,,,,,,,,,,,,,,,,31.0,13.4,8.4,7.9,6.4,5.5,4.1,3.7,3.4,4.1,3.5,3.2,2.6,2.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGCCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,232,Egypt,%,,,,,,,,,,,,,,,,,,,,,,,,13.6,16.9,20.2,24.2,23.6,26.5,18.2,19.3,14.8,13.4,13.6,10.9,9.8,9.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,294,El Salvador,%,,,,,,,,,,,,,,,,,,,,,,,,,4.3,15.8,2.8,2.3,1.9,1.9,2.1,2.8,3.7,3.9,3.6,2.8,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,235,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,231,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,237,Estonia,%,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.3,0.8,0.4,0.3,0.2,0.2,0.5,1.9,5.2,5.4,4.0,2.6,1.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,234,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,241,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,240,Finland,%,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,0.5,0.4,0.3,0.2,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,243,France,%,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.2,4.8,4.2,3.5,3.0,2.7,2.8,4.0,3.8,4.3,4.3,4.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGCCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,239,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,242,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,252,Gabon,%,,,,,,,,,,,,,,,,,,,,,,,,6.6,8.6,11.4,13.9,16.0,14.1,10.7,7.6,8.5,7.2,9.9,7.8,8.7,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGCCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,299,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,248,Georgia,%,,,,,,,,,,,,,,,,,,,,,,,,,11.6,7.9,2.4,2.0,1.2,0.8,0.8,4.1,6.3,5.9,4.5,3.7,3.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
